Brand,Model,Processor,RAM,Storage,GraphicsCard,ScreenSize,Price
"ASUS,ROG Strix G15 V48.4,AMD Ryzen 7 6800H,64 GB,1 TB SSD,AMD Radeon RX 7600M XT,""15.6"""" FHD"",1117.47"
"Lenovo,Legion 5 V42.5,AMD Ryzen 7 5800H,64 GB,1 TB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",730.41"
"ASUS,ROG Strix G15 V11.3,AMD Ryzen 7 6800H,8 GB,512 GB SSD,AMD Radeon RX 6600M,""14"""" FHD"",1342.41"
"MSI,Katana GF66 V38.6,Intel Core i7-11800H,16 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",593.72"
"Acer,Nitro 5 V33.8,Intel Core i5-11400H,16 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",1195.12"
"MSI,Katana GF66 V47.8,Intel Core i7-11800H,64 GB,256 GB SSD,AMD Radeon RX 7600M XT,""17.3"""" FHD"",1124.12"
"HP,Victus 15 V4.2,AMD Ryzen 5 5600H,64 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",1066.81"
"Lenovo,Legion 5 V29.2,AMD Ryzen 7 5800H,16 GB,512 GB SSD,AMD Radeon RX 6600M,""16"""" QHD"",677.25"
"HP,Victus 15 V19.1,AMD Ryzen 5 5600H,32 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",1344.59"
"HP,Victus 15 V14.3,AMD Ryzen 5 5600H,16 GB,2 TB SSD,NVIDIA GeForce RTX 4050,""15.6"""" FHD"",1340.47"
"Acer,Nitro 5 V23.4,Intel Core i5-11400H,32 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",1045.03"
"MSI,Katana GF66 V3.2,Intel Core i7-11800H,8 GB,512 GB SSD,AMD Radeon RX 7600M XT,""15.6"""" FHD"",1180.03"
"Lenovo,Legion 5 V10.4,AMD Ryzen 7 5800H,16 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",884.16"
"HP,Victus 15 V13.3,AMD Ryzen 5 5600H,16 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",1030.41"
"Acer,Nitro 5 V6.6,Intel Core i5-11400H,16 GB,2 TB SSD,AMD Radeon RX 6600M,""16"""" QHD"",1094.56"
"Lenovo,Legion 5 V14.8,AMD Ryzen 7 5800H,8 GB,256 GB SSD,AMD Radeon RX 7600M XT,""15.6"""" FHD"",761.5"
"Acer,Nitro 5 V7.4,Intel Core i5-11400H,32 GB,1 TB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",973.69"
"HP,Victus 15 V28.9,AMD Ryzen 5 5600H,64 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""15.6"""" FHD"",1269.59"
"Lenovo,Legion 5 V37.0,AMD Ryzen 7 5800H,8 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""15.6"""" FHD"",1336.69"
"ASUS,ROG Strix G15 V23.5,AMD Ryzen 7 6800H,32 GB,256 GB SSD,AMD Radeon RX 6600M,""17.3"""" FHD"",730.12"
"MSI,Katana GF66 V47.1,Intel Core i7-11800H,8 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""15.6"""" FHD"",926.78"
"HP,Victus 15 V29.6,AMD Ryzen 5 5600H,32 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""15.6"""" FHD"",1099.12"
"ASUS,ROG Strix G15 V47.6,AMD Ryzen 7 6800H,16 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",641.22"
"ASUS,ROG Strix G15 V49.7,AMD Ryzen 7 6800H,32 GB,512 GB SSD,AMD Radeon RX 6600M,""16"""" QHD"",785.53"
"MSI,Katana GF66 V35.9,Intel Core i7-11800H,32 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",1332.56"
"ASUS,ROG Strix G15 V16.6,AMD Ryzen 7 6800H,16 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",596.53"
"HP,Victus 15 V13.6,AMD Ryzen 5 5600H,8 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",1039.91"
"MSI,Katana GF66 V10.1,Intel Core i7-11800H,16 GB,2 TB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",919.47"
"ASUS,ROG Strix G15 V45.6,AMD Ryzen 7 6800H,32 GB,512 GB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",878.94"
"HP,Victus 15 V31.0,AMD Ryzen 5 5600H,8 GB,256 GB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",1033.03"
"MSI,Katana GF66 V32.7,Intel Core i7-11800H,8 GB,256 GB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",606.66"
"MSI,Katana GF66 V39.1,Intel Core i7-11800H,16 GB,256 GB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",938.09"
"MSI,Katana GF66 V3.1,Intel Core i7-11800H,8 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""14"""" FHD"",1230.69"
"Acer,Nitro 5 V43.3,Intel Core i5-11400H,64 GB,256 GB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",1187.97"
"MSI,Katana GF66 V27.6,Intel Core i7-11800H,64 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""14"""" FHD"",1038.62"
"HP,Victus 15 V46.2,AMD Ryzen 5 5600H,16 GB,256 GB SSD,AMD Radeon RX 6600M,""17.3"""" FHD"",751.53"
"HP,Victus 15 V41.2,AMD Ryzen 5 5600H,16 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""14"""" FHD"",839.72"
"Lenovo,Legion 5 V29.2,AMD Ryzen 7 5800H,16 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",1253.44"
"ASUS,ROG Strix G15 V2.2,AMD Ryzen 7 6800H,64 GB,256 GB SSD,NVIDIA GeForce RTX 3050,""16"""" QHD"",690.25"
"HP,Victus 15 V5.1,AMD Ryzen 5 5600H,8 GB,1 TB SSD,AMD Radeon RX 6600M,""17.3"""" FHD"",1189.41"
"Acer,Nitro 5 V18.3,Intel Core i5-11400H,64 GB,512 GB SSD,NVIDIA GeForce RTX 3050,""15.6"""" FHD"",675.34"
"ASUS,ROG Strix G15 V40.7,AMD Ryzen 7 6800H,64 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",666.41"
"HP,Victus 15 V18.4,AMD Ryzen 5 5600H,8 GB,512 GB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",1375.78"
"MSI,Katana GF66 V36.9,Intel Core i7-11800H,32 GB,2 TB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",647.34"
"MSI,Katana GF66 V37.6,Intel Core i7-11800H,16 GB,2 TB SSD,NVIDIA GeForce RTX 3060,""16"""" QHD"",612.06"
"MSI,Katana GF66 V34.7,Intel Core i7-11800H,64 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",1205.53"
"Acer,Nitro 5 V26.4,Intel Core i5-11400H,64 GB,256 GB SSD,NVIDIA GeForce GTX 1650,""14"""" FHD"",1261.16"
"HP,Victus 15 V2.2,AMD Ryzen 5 5600H,32 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""14"""" FHD"",645.09"
"Acer,Nitro 5 V4.1,Intel Core i5-11400H,16 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",950.19"
"MSI,Katana GF66 V7.5,Intel Core i7-11800H,16 GB,512 GB SSD,NVIDIA GeForce GTX 1650,""15.6"""" FHD"",1086.78"
"HP,Victus 15 V18.8,AMD Ryzen 5 5600H,8 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",618.5"
"ASUS,ROG Strix G15 V3.0,AMD Ryzen 7 6800H,64 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""16"""" QHD"",794.94"
"Lenovo,Legion 5 V5.8,AMD Ryzen 7 5800H,64 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""16"""" QHD"",1016.56"
"HP,Victus 15 V19.9,AMD Ryzen 5 5600H,8 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""17.3"""" FHD"",1186.41"
"HP,Victus 15 V24.7,AMD Ryzen 5 5600H,32 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""15.6"""" FHD"",1393.09"
"ASUS,ROG Strix G15 V21.3,AMD Ryzen 7 6800H,8 GB,2 TB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",1361.72"
"ASUS,ROG Strix G15 V47.9,AMD Ryzen 7 6800H,16 GB,2 TB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",1337.84"
"Lenovo,Legion 5 V31.8,AMD Ryzen 7 5800H,16 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",903.81"
"HP,Victus 15 V15.8,AMD Ryzen 5 5600H,32 GB,512 GB SSD,AMD Radeon RX 6600M,""17.3"""" FHD"",974.94"
"ASUS,ROG Strix G15 V40.2,AMD Ryzen 7 6800H,8 GB,2 TB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",1239.34"
"MSI,Katana GF66 V39.4,Intel Core i7-11800H,32 GB,1 TB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",582.31"
"MSI,Katana GF66 V41.9,Intel Core i7-11800H,64 GB,2 TB SSD,NVIDIA GeForce RTX 3060,""15.6"""" FHD"",774.41"
"HP,Victus 15 V11.1,AMD Ryzen 5 5600H,16 GB,2 TB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",584.38"
"MSI,Katana GF66 V35.1,Intel Core i7-11800H,32 GB,2 TB SSD,NVIDIA GeForce RTX 4050,""15.6"""" FHD"",652.34"
"Acer,Nitro 5 V40.9,Intel Core i5-11400H,32 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",1200.97"
"HP,Victus 15 V21.2,AMD Ryzen 5 5600H,32 GB,256 GB SSD,AMD Radeon RX 7600M XT,""17.3"""" FHD"",1040.28"
"HP,Victus 15 V14.2,AMD Ryzen 5 5600H,64 GB,256 GB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",1305.5"
"MSI,Katana GF66 V32.9,Intel Core i7-11800H,8 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""14"""" FHD"",811.97"
"MSI,Katana GF66 V20.1,Intel Core i7-11800H,8 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",1183.03"
"ASUS,ROG Strix G15 V49.8,AMD Ryzen 7 6800H,64 GB,256 GB SSD,NVIDIA GeForce RTX 3050,""17.3"""" FHD"",1310.69"
"Acer,Nitro 5 V23.9,Intel Core i5-11400H,32 GB,2 TB SSD,AMD Radeon RX 7600M XT,""17.3"""" FHD"",570.84"
"HP,Victus 15 V35.0,AMD Ryzen 5 5600H,64 GB,256 GB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",1232.81"
"Lenovo,Legion 5 V43.8,AMD Ryzen 7 5800H,8 GB,2 TB SSD,AMD Radeon RX 7600M XT,""15.6"""" FHD"",668.25"
"Lenovo,Legion 5 V32.3,AMD Ryzen 7 5800H,8 GB,2 TB SSD,NVIDIA GeForce RTX 3060,""16"""" QHD"",594.16"
"ASUS,ROG Strix G15 V39.7,AMD Ryzen 7 6800H,8 GB,2 TB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",1246.75"
"HP,Victus 15 V1.4,AMD Ryzen 5 5600H,8 GB,512 GB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",973.56"
"HP,Victus 15 V6.7,AMD Ryzen 5 5600H,16 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""15.6"""" FHD"",1239.31"
"HP,Victus 15 V1.3,AMD Ryzen 5 5600H,32 GB,512 GB SSD,AMD Radeon RX 6600M,""16"""" QHD"",1131.38"
"Lenovo,Legion 5 V5.2,AMD Ryzen 7 5800H,64 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",1382.59"
"HP,Victus 15 V47.5,AMD Ryzen 5 5600H,64 GB,1 TB SSD,NVIDIA GeForce RTX 4050,""17.3"""" FHD"",995.91"
"ASUS,ROG Strix G15 V5.5,AMD Ryzen 7 6800H,16 GB,2 TB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",1282.78"
"MSI,Katana GF66 V42.4,Intel Core i7-11800H,64 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",1204.5"
"ASUS,ROG Strix G15 V41.9,AMD Ryzen 7 6800H,32 GB,2 TB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",676.0"
"HP,Victus 15 V32.2,AMD Ryzen 5 5600H,16 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""17.3"""" FHD"",1128.53"
"Lenovo,Legion 5 V26.5,AMD Ryzen 7 5800H,16 GB,256 GB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",955.94"
"Acer,Nitro 5 V43.3,Intel Core i5-11400H,64 GB,2 TB SSD,NVIDIA GeForce RTX 3050,""16"""" QHD"",1399.03"
"Lenovo,Legion 5 V18.3,AMD Ryzen 7 5800H,64 GB,512 GB SSD,AMD Radeon RX 6600M,""16"""" QHD"",1140.31"
"ASUS,ROG Strix G15 V15.7,AMD Ryzen 7 6800H,32 GB,2 TB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",1209.69"
"MSI,Katana GF66 V7.3,Intel Core i7-11800H,8 GB,256 GB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",618.38"
"ASUS,ROG Strix G15 V17.9,AMD Ryzen 7 6800H,32 GB,512 GB SSD,AMD Radeon RX 6600M,""14"""" FHD"",824.25"
"Lenovo,Legion 5 V20.0,AMD Ryzen 7 5800H,16 GB,2 TB SSD,NVIDIA GeForce RTX 3050,""16"""" QHD"",1218.06"
"MSI,Katana GF66 V23.7,Intel Core i7-11800H,8 GB,1 TB SSD,AMD Radeon RX 6600M,""14"""" FHD"",777.62"
"Acer,Nitro 5 V16.6,Intel Core i5-11400H,32 GB,2 TB SSD,AMD Radeon RX 6600M,""14"""" FHD"",691.78"
"MSI,Katana GF66 V10.9,Intel Core i7-11800H,64 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",1388.84"
"MSI,Katana GF66 V8.5,Intel Core i7-11800H,8 GB,2 TB SSD,NVIDIA GeForce RTX 3050,""16"""" QHD"",621.34"
"ASUS,ROG Strix G15 V33.9,AMD Ryzen 7 6800H,32 GB,2 TB SSD,NVIDIA GeForce RTX 4050,""17.3"""" FHD"",597.06"
"HP,Victus 15 V13.4,AMD Ryzen 5 5600H,8 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""16"""" QHD"",757.25"
"Lenovo,Legion 5 V38.5,AMD Ryzen 7 5800H,64 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""17.3"""" FHD"",1354.28"
"ASUS,ROG Strix G15 V14.6,AMD Ryzen 7 6800H,8 GB,256 GB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",1137.94"
"ASUS,ROG Strix G15 V8.5,AMD Ryzen 7 6800H,8 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""15.6"""" FHD"",1116.03"
"MSI,Katana GF66 V31.8,Intel Core i7-11800H,8 GB,2 TB SSD,NVIDIA GeForce RTX 3060,""16"""" QHD"",1134.41"
"Acer,Nitro 5 V23.2,Intel Core i5-11400H,32 GB,512 GB SSD,AMD Radeon RX 6600M,""16"""" QHD"",626.19"
"ASUS,ROG Strix G15 V15.7,AMD Ryzen 7 6800H,8 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""15.6"""" FHD"",998.53"
"ASUS,ROG Strix G15 V37.9,AMD Ryzen 7 6800H,8 GB,2 TB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",900.06"
"Lenovo,Legion 5 V26.2,AMD Ryzen 7 5800H,64 GB,256 GB SSD,AMD Radeon RX 7600M XT,""17.3"""" FHD"",1400.5"
"ASUS,ROG Strix G15 V31.5,AMD Ryzen 7 6800H,16 GB,1 TB SSD,AMD Radeon RX 7600M XT,""15.6"""" FHD"",1110.16"
"Acer,Nitro 5 V16.3,Intel Core i5-11400H,8 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",1368.66"
"ASUS,ROG Strix G15 V14.7,AMD Ryzen 7 6800H,16 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",1287.19"
"MSI,Katana GF66 V33.7,Intel Core i7-11800H,16 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""15.6"""" FHD"",1138.28"
"Acer,Nitro 5 V33.9,Intel Core i5-11400H,64 GB,256 GB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",878.12"
"Lenovo,Legion 5 V26.1,AMD Ryzen 7 5800H,64 GB,2 TB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",1390.69"
"HP,Victus 15 V39.9,AMD Ryzen 5 5600H,32 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",991.88"
"MSI,Katana GF66 V17.8,Intel Core i7-11800H,64 GB,256 GB SSD,AMD Radeon RX 6600M,""16"""" QHD"",1182.28"
"HP,Victus 15 V46.9,AMD Ryzen 5 5600H,16 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",775.12"
"Lenovo,Legion 5 V4.0,AMD Ryzen 7 5800H,16 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",778.88"
"Lenovo,Legion 5 V20.6,AMD Ryzen 7 5800H,64 GB,256 GB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",1274.94"
"Acer,Nitro 5 V30.6,Intel Core i5-11400H,16 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",826.12"
"Lenovo,Legion 5 V34.7,AMD Ryzen 7 5800H,32 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",1388.56"
"MSI,Katana GF66 V32.5,Intel Core i7-11800H,64 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""17.3"""" FHD"",897.22"
"MSI,Katana GF66 V50.3,Intel Core i7-11800H,8 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""17.3"""" FHD"",802.56"
"ASUS,ROG Strix G15 V5.1,AMD Ryzen 7 6800H,16 GB,1 TB SSD,AMD Radeon RX 6600M,""14"""" FHD"",1368.25"
"MSI,Katana GF66 V29.7,Intel Core i7-11800H,64 GB,2 TB SSD,NVIDIA GeForce RTX 4050,""14"""" FHD"",659.41"
"MSI,Katana GF66 V8.9,Intel Core i7-11800H,8 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""15.6"""" FHD"",1364.12"
"HP,Victus 15 V46.3,AMD Ryzen 5 5600H,8 GB,2 TB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",1135.16"
"Acer,Nitro 5 V4.7,Intel Core i5-11400H,8 GB,512 GB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",766.16"
"MSI,Katana GF66 V41.4,Intel Core i7-11800H,8 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",855.75"
"MSI,Katana GF66 V12.8,Intel Core i7-11800H,8 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""17.3"""" FHD"",1382.41"
"Lenovo,Legion 5 V42.8,AMD Ryzen 7 5800H,32 GB,1 TB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",972.38"
"Lenovo,Legion 5 V41.5,AMD Ryzen 7 5800H,16 GB,256 GB SSD,NVIDIA GeForce RTX 3050,""17.3"""" FHD"",1101.5"
"MSI,Katana GF66 V9.4,Intel Core i7-11800H,64 GB,1 TB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",1153.78"
"ASUS,ROG Strix G15 V11.1,AMD Ryzen 7 6800H,64 GB,512 GB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",961.44"
"MSI,Katana GF66 V19.5,Intel Core i7-11800H,8 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",1099.56"
"HP,Victus 15 V49.9,AMD Ryzen 5 5600H,8 GB,2 TB SSD,NVIDIA GeForce RTX 3050,""17.3"""" FHD"",846.97"
"Acer,Nitro 5 V50.6,Intel Core i5-11400H,64 GB,2 TB SSD,NVIDIA GeForce RTX 3050,""17.3"""" FHD"",791.97"
"ASUS,ROG Strix G15 V18.7,AMD Ryzen 7 6800H,64 GB,512 GB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",1278.94"
"Acer,Nitro 5 V23.9,Intel Core i5-11400H,32 GB,256 GB SSD,AMD Radeon RX 6600M,""17.3"""" FHD"",973.81"
"HP,Victus 15 V50.8,AMD Ryzen 5 5600H,64 GB,512 GB SSD,NVIDIA GeForce RTX 3050,""17.3"""" FHD"",1368.5"
"MSI,Katana GF66 V9.5,Intel Core i7-11800H,8 GB,256 GB SSD,NVIDIA GeForce RTX 3050,""16"""" QHD"",909.56"
"HP,Victus 15 V13.6,AMD Ryzen 5 5600H,64 GB,256 GB SSD,NVIDIA GeForce RTX 3050,""14"""" FHD"",1371.47"
"MSI,Katana GF66 V50.7,Intel Core i7-11800H,8 GB,256 GB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",797.47"
"Lenovo,Legion 5 V17.1,AMD Ryzen 7 5800H,8 GB,512 GB SSD,AMD Radeon RX 6600M,""16"""" QHD"",836.41"
"Acer,Nitro 5 V31.4,Intel Core i5-11400H,16 GB,512 GB SSD,NVIDIA GeForce GTX 1650,""14"""" FHD"",848.75"
"Acer,Nitro 5 V46.2,Intel Core i5-11400H,16 GB,2 TB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",776.69"
"ASUS,ROG Strix G15 V5.9,AMD Ryzen 7 6800H,8 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""15.6"""" FHD"",1388.22"
"HP,Victus 15 V26.7,AMD Ryzen 5 5600H,32 GB,256 GB SSD,NVIDIA GeForce GTX 1650,""14"""" FHD"",749.22"
"ASUS,ROG Strix G15 V30.8,AMD Ryzen 7 6800H,8 GB,256 GB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",1229.0"
"HP,Victus 15 V50.6,AMD Ryzen 5 5600H,16 GB,2 TB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",1015.91"
"Lenovo,Legion 5 V12.5,AMD Ryzen 7 5800H,32 GB,256 GB SSD,NVIDIA GeForce RTX 3050,""17.3"""" FHD"",998.56"
"ASUS,ROG Strix G15 V14.2,AMD Ryzen 7 6800H,8 GB,2 TB SSD,AMD Radeon RX 7600M XT,""14"""" FHD"",1276.25"
"Acer,Nitro 5 V31.0,Intel Core i5-11400H,8 GB,1 TB SSD,NVIDIA GeForce RTX 3060,""16"""" QHD"",933.59"
"HP,Victus 15 V7.5,AMD Ryzen 5 5600H,8 GB,512 GB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",1201.41"
"ASUS,ROG Strix G15 V14.9,AMD Ryzen 7 6800H,32 GB,512 GB SSD,NVIDIA GeForce GTX 1650,""16"""" QHD"",1288.88"
"Lenovo,Legion 5 V2.5,AMD Ryzen 7 5800H,32 GB,512 GB SSD,NVIDIA GeForce RTX 3050,""17.3"""" FHD"",1100.09"
"HP,Victus 15 V50.4,AMD Ryzen 5 5600H,32 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""16"""" QHD"",688.0"
"Acer,Nitro 5 V46.3,Intel Core i5-11400H,32 GB,1 TB SSD,AMD Radeon RX 6600M,""16"""" QHD"",1357.47"
"ASUS,ROG Strix G15 V46.8,AMD Ryzen 7 6800H,64 GB,512 GB SSD,NVIDIA GeForce GTX 1650,""15.6"""" FHD"",1016.09"
"Lenovo,Legion 5 V10.4,AMD Ryzen 7 5800H,8 GB,2 TB SSD,AMD Radeon RX 7600M XT,""15.6"""" FHD"",1376.97"
"MSI,Katana GF66 V20.9,Intel Core i7-11800H,16 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""14"""" FHD"",669.88"
"HP,Victus 15 V2.2,AMD Ryzen 5 5600H,32 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""14"""" FHD"",1014.16"
"ASUS,ROG Strix G15 V1.9,AMD Ryzen 7 6800H,64 GB,2 TB SSD,NVIDIA GeForce RTX 3060,""15.6"""" FHD"",1091.62"
"Lenovo,Legion 5 V36.9,AMD Ryzen 7 5800H,16 GB,512 GB SSD,NVIDIA GeForce GTX 1650,""17.3"""" FHD"",1369.84"
"Lenovo,Legion 5 V19.5,AMD Ryzen 7 5800H,8 GB,1 TB SSD,AMD Radeon RX 6600M,""14"""" FHD"",1348.88"
"HP,Victus 15 V28.0,AMD Ryzen 5 5600H,16 GB,2 TB SSD,AMD Radeon RX 6600M,""15.6"""" FHD"",699.5"
"MSI,Katana GF66 V20.6,Intel Core i7-11800H,8 GB,256 GB SSD,AMD Radeon RX 7600M XT,""17.3"""" FHD"",1147.09"
"ASUS,ROG Strix G15 V8.9,AMD Ryzen 7 6800H,32 GB,2 TB SSD,NVIDIA GeForce RTX 3060,""16"""" QHD"",1002.06"
"MSI,Katana GF66 V29.8,Intel Core i7-11800H,8 GB,512 GB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",733.12"
"ASUS,ROG Strix G15 V16.6,AMD Ryzen 7 6800H,16 GB,1 TB SSD,AMD Radeon RX 6600M,""14"""" FHD"",938.31"
"ASUS,ROG Strix G15 V26.2,AMD Ryzen 7 6800H,64 GB,256 GB SSD,NVIDIA GeForce RTX 3050,""16"""" QHD"",1255.25"
"Acer,Nitro 5 V5.2,Intel Core i5-11400H,32 GB,2 TB SSD,AMD Radeon RX 7600M XT,""16"""" QHD"",1399.12"
"Lenovo,Legion 5 V45.0,AMD Ryzen 7 5800H,8 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""15.6"""" FHD"",883.62"
"Lenovo,Legion 5 V3.7,AMD Ryzen 7 5800H,32 GB,512 GB SSD,NVIDIA GeForce RTX 3050,""17.3"""" FHD"",1396.91"
"MSI,Katana GF66 V27.2,Intel Core i7-11800H,8 GB,1 TB SSD,AMD Radeon RX 7600M XT,""17.3"""" FHD"",1103.38"
"Acer,Nitro 5 V22.0,Intel Core i5-11400H,32 GB,512 GB SSD,AMD Radeon RX 6600M,""17.3"""" FHD"",1163.91"
"HP,Victus 15 V17.1,AMD Ryzen 5 5600H,64 GB,2 TB SSD,NVIDIA GeForce GTX 1650,""15.6"""" FHD"",1133.94"
"HP,Victus 15 V8.9,AMD Ryzen 5 5600H,16 GB,256 GB SSD,NVIDIA GeForce RTX 3050,""15.6"""" FHD"",1197.53"
"ASUS,ROG Strix G15 V3.0,AMD Ryzen 7 6800H,8 GB,1 TB SSD,NVIDIA GeForce GTX 1650,""14"""" FHD"",1169.78"
"Lenovo,Legion 5 V42.4,AMD Ryzen 7 5800H,16 GB,1 TB SSD,AMD Radeon RX 6600M,""16"""" QHD"",1111.44"
"Lenovo,Legion 5 V20.5,AMD Ryzen 7 5800H,16 GB,256 GB SSD,NVIDIA GeForce RTX 3060,""15.6"""" FHD"",1040.41"
"MSI,Katana GF66 V30.3,Intel Core i7-11800H,8 GB,2 TB SSD,AMD Radeon RX 6600M,""14"""" FHD"",1057.06"
"ASUS,ROG Strix G15 V39.3,AMD Ryzen 7 6800H,8 GB,512 GB SSD,NVIDIA GeForce RTX 4050,""17.3"""" FHD"",1350.47"
"Lenovo,Legion 5 V27.9,AMD Ryzen 7 5800H,32 GB,512 GB SSD,NVIDIA GeForce RTX 3050,""17.3"""" FHD"",1381.03"
